"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"547","2020-01-19","2020-01-19","Harbor","DISTURBING THE PEACE","38","M","W","1985"
"548","2020-01-19","2020-01-19","Southwest","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","32","M","B","1991"
"549","2020-01-18","2020-01-18","Central","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","33","M","H","1990"
"550","2020-01-19","2020-01-19","Central","INTIMATE PARTNER - SIMPLE ASSAULT","25","F","O","1998"
"551","2020-01-19","2020-01-19","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","57","F","W","1966"
"552","2020-01-19","2020-01-19","Central","INTIMATE PARTNER - SIMPLE ASSAULT","26","F","H","1997"
"553","2020-01-19","2020-01-19","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","31","M","H","1992"
"554","2020-01-19","2020-01-19","Central","ROBBERY","37","M","B","1986"
"555","2020-01-19","2020-01-19","Central","THEFT PLAIN - PETTY ($950 & UNDER)","33","F","H","1990"
"556","2020-01-19","2020-01-19","Wilshire","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","57","F","B","1966"
"557","2020-01-19","2020-01-19","Van Nuys","INTIMATE PARTNER - SIMPLE ASSAULT","23","M","B","2000"
"558","2020-01-19","2020-01-19","Central","BATTERY - SIMPLE ASSAULT","33","F","H","1990"
"559","2020-01-19","2020-01-19","Wilshire","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","70","F","W","1953"
"560","2020-01-19","2020-01-19","Newton","THREATENING PHONE CALLS/LETTERS","27","F","W","1996"
"561","2020-03-29","2020-03-29","Newton","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","9","F","H","2014"
"562","2020-01-19","2020-01-19","Central","BATTERY - SIMPLE ASSAULT","30","M","W","1993"
"563","2020-01-19","2020-01-19","Central","BATTERY - SIMPLE ASSAULT","30","M","W","1993"
"564","2020-05-05","2020-05-05","Van Nuys","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","36","M","W","1987"
"565","2020-01-19","2020-01-19","Central","BATTERY - SIMPLE ASSAULT","27","M","H","1996"
"566","2020-01-19","2020-01-19","Central","THEFT PLAIN - PETTY ($950 & UNDER)","39","F","B","1984"
"567","2020-01-19","2020-01-19","Central","BATTERY - SIMPLE ASSAULT","48","F","H","1975"
"568","2020-01-19","2020-01-19","Central","BATTERY WITH SEXUAL CONTACT","39","F","W","1984"
"569","2020-01-19","2020-01-19","Central","ATTEMPTED ROBBERY","31","M","H","1992"
